content_id,content_type,genre,release_year,duration_minutes,average_user_rating
1,Movie,Family,1992,94,4.5
2,Movie,Sport,1996,152,1.4
3,Movie,Thriller,1998,179,4.4
4,Movie,Action,2021,62,4.9
5,TV Show,Family,2010,146,1.0
6,Movie,Western,2005,236,1.7
7,TV Show,Documentary,2007,140,1.8
8,Movie,Western,1997,158,2.8
9,TV Show,Mystery,1994,125,2.2
10,TV Show,Drama,2016,70,2.6
11,Movie,Western,2011,231,4.4
12,Movie,War,2013,226,4.1
13,Live Event,Sport,2009,62,3.3
14,Movie,Family,1990,77,1.9
15,Live Event,Animation,2005,88,2.0
16,TV Show,Drama,1998,48,4.8
17,Movie,History,2010,42,1.3
18,Live Event,Drama,2013,73,4.3
19,Movie,Fantasy,1991,83,2.2
20,TV Show,Crime,2017,170,4.7
21,Movie,Sci-Fi,1991,213,5.0
22,Movie,History,2009,197,1.4
23,TV Show,Sci-Fi,2005,107,1.6
24,Movie,Mystery,1998,237,1.1
25,Movie,Documentary,1991,184,2.0
26,Movie,History,2016,165,4.8
27,Movie,Crime,2015,191,1.4
28,TV Show,Fantasy,2019,128,1.1
29,TV Show,Crime,2001,143,4.8
30,Movie,Sport,2007,169,2.9
31,Movie,Mystery,2010,100,2.4
32,TV Show,History,2020,195,1.3
33,TV Show,War,1994,124,3.8
34,TV Show,Family,1995,103,1.5
35,Movie,Horror,2022,163,3.0
36,TV Show,Drama,2000,133,3.5
37,Movie,Western,2005,173,1.3
38,Movie,Western,2018,76,3.5
39,Movie,Sci-Fi,1995,129,1.0
40,TV Show,Sci-Fi,2001,239,3.1
41,Movie,Drama,2019,40,1.2
42,Movie,Sport,2009,87,1.5
43,Movie,Romance,2016,130,4.3
44,Movie,Romance,2016,197,1.2
45,Movie,Mystery,2013,65,3.2
46,TV Show,Music,1994,55,1.5
47,Movie,Western,2017,160,2.9
48,Movie,Crime,2020,150,2.9
49,Movie,Western,1992,205,4.5
50,TV Show,Music,2016,135,3.6
51,TV Show,Crime,2003,148,3.3
52,TV Show,Romance,2012,210,4.9
53,TV Show,Horror,1991,125,3.0
54,Movie,Romance,2014,145,2.6
55,Movie,Action,2003,137,4.4
56,Movie,Animation,2013,54,3.6
57,Movie,Music,2012,231,1.6
58,Movie,Thriller,2011,110,4.8
59,Movie,Family,2008,194,1.7
60,Movie,Drama,1999,237,3.9
61,Movie,Family,2017,209,2.7
62,Movie,Romance,2018,207,3.0
63,Movie,Western,2006,200,1.5
64,Movie,Adventure,2008,54,4.9
65,Movie,Sci-Fi,1996,212,4.5
66,Movie,Drama,1990,30,2.7
67,TV Show,History,1998,48,3.2
68,Movie,Mystery,2000,178,4.5
69,TV Show,Drama,1995,79,3.2
70,Movie,History,1998,237,3.1
71,Movie,Fantasy,2000,228,1.5
72,TV Show,Biography,2016,166,2.4
73,Movie,Western,1992,227,4.5
74,TV Show,Drama,2013,181,2.1
75,Movie,Action,2019,42,1.3
76,Movie,Mystery,2009,57,3.1
77,TV Show,Animation,2006,123,2.2
78,Movie,Music,2012,184,2.8
79,Movie,Documentary,1996,105,2.7
80,Movie,Romance,2001,87,2.5
81,Movie,Fantasy,2003,104,2.8
82,Movie,Mystery,2003,122,1.9
83,Movie,Adventure,1998,134,3.7
84,TV Show,Music,1998,220,1.6
85,Movie,Drama,1997,39,1.3
86,Live Event,Adventure,2012,233,1.6
87,Live Event,Thriller,2020,211,1.5
88,Movie,Biography,2018,42,1.4
89,TV Show,Sport,2013,72,1.9
90,Live Event,Mystery,2016,235,2.6
91,TV Show,Animation,2000,152,1.2
92,Movie,Thriller,1990,122,4.5
93,Movie,Thriller,1993,216,2.0
94,Movie,Mystery,1995,177,4.3
95,Movie,Action,2022,62,2.6
96,Movie,Mystery,1998,97,1.8
97,Movie,Animation,2015,160,1.3
98,Movie,Animation,2020,107,4.2
99,Movie,Comedy,2022,60,3.3
100,Live Event,Crime,2009,99,2.2
101,Movie,Drama,1999,120,2.5
102,TV Show,Documentary,2013,132,3.0
103,Live Event,Crime,2012,107,1.6
104,Movie,Documentary,2022,100,4.9
105,Live Event,Romance,2003,160,1.0
106,Movie,Action,2013,212,2.3
107,Movie,Sci-Fi,2010,220,3.2
108,Movie,Mystery,1995,47,1.9
109,Movie,Documentary,2017,100,4.5
110,TV Show,Music,2002,159,4.8
111,Movie,Comedy,1992,228,1.8
112,TV Show,Comedy,2022,156,2.8
113,TV Show,History,2008,211,2.4
114,TV Show,Comedy,1998,167,3.9
115,TV Show,Comedy,2019,239,3.3
116,Movie,Drama,2003,117,2.4
117,Movie,Fantasy,2014,212,2.1
118,Movie,Biography,2021,102,3.9
119,Movie,Sci-Fi,2006,221,4.3
120,TV Show,Horror,2005,91,1.6
121,TV Show,Crime,2019,153,3.5
122,TV Show,Mystery,2007,49,4.8
123,TV Show,Action,1990,216,4.0
124,Live Event,Comedy,1998,154,2.3
125,TV Show,Fantasy,1992,100,4.4
126,TV Show,Music,2003,71,3.7
127,Movie,Biography,2010,49,1.1
128,TV Show,Documentary,2014,76,5.0
129,TV Show,Fantasy,2022,108,3.9
130,TV Show,Animation,2007,36,1.8
131,Movie,Romance,2019,238,4.4
132,TV Show,Crime,1997,182,1.2
133,TV Show,Documentary,2013,59,2.3
134,Movie,Fantasy,2001,44,4.2
135,Movie,Crime,2018,110,3.3
136,Movie,Crime,1992,36,4.4
