user_id,content_id,interaction_type,interaction_timestamp
86446,2130,Liked,2022-03-04 15:24:42
86446,3103,Shared,2022-06-21 08:36:50
43106,1244,Played,2022-09-07 06:26:54
83664,2236,Added to Playlist,2022-07-16 21:31:08
97908,491,Added to Playlist,2022-02-07 21:28:23
16651,2589,Disliked,2022-09-29 17:29:51
16651,3015,Liked,2021-04-21 05:56:37
15785,3334,Shared,2022-08-26 07:13:44
15785,681,Added to Playlist,2022-02-27 05:50:20
15785,1426,Added to Playlist,2022-07-26 03:34:48
25061,4680,Shared,2023-01-01 01:28:34
56090,1792,Liked,2023-01-07 00:55:59
82260,2272,Played,2022-11-19 23:33:26
82260,4192,Shared,2021-11-26 05:07:58
11178,3971,Shared,2023-03-22 20:37:42
11178,4896,Played,2023-01-10 04:29:48
63353,2564,Added to Playlist,2023-03-22 08:22:23
55018,2130,Added to Playlist,2022-05-12 05:46:25
55018,4405,Added to Playlist,2023-02-07 01:40:49
42074,1432,Added to Playlist,2021-06-26 00:00:55
21093,2297,Disliked,2023-03-18 23:59:39
33952,710,Disliked,2023-04-15 23:27:59
33952,2252,Shared,2023-04-17 02:31:32
33952,1061,Added to Playlist,2023-04-17 20:42:56
11419,3379,Disliked,2021-10-16 22:56:27
21014,4473,Played,2022-07-20 07:59:09
22098,3119,Liked,2022-08-01 10:38:50
22098,685,Liked,2022-05-21 20:42:45
22098,4826,Played,2022-04-27 07:37:47
75947,1153,Played,2022-06-23 17:38:38
90762,2776,Added to Playlist,2023-01-26 22:23:31
29837,1674,Added to Playlist,2022-12-11 03:47:36
47504,1875,Liked,2021-01-13 08:25:52
47504,1573,Liked,2022-09-17 15:36:18
55204,2981,Added to Playlist,2021-09-07 06:40:50
52653,1536,Liked,2022-11-20 23:24:28
52653,37,Shared,2021-05-21 22:37:31
92241,508,Disliked,2021-11-03 22:14:42
92241,2466,Liked,2021-08-17 06:57:44
55743,704,Disliked,2023-04-14 05:08:41
71559,3376,Liked,2023-03-08 18:05:52
82485,2905,Played,2022-09-14 04:15:33
82485,4956,Added to Playlist,2022-08-16 04:16:31
82485,3804,Added to Playlist,2022-03-12 15:24:57
7794,4165,Liked,2022-03-22 13:29:10
7794,4628,Liked,2021-05-04 15:32:49
7795,4582,Disliked,2023-01-09 20:30:26
7795,1659,Added to Playlist,2022-11-11 19:09:21
76500,1265,Disliked,2023-01-15 16:33:15
63120,1676,Shared,2023-03-26 11:14:25
47116,2316,Added to Playlist,2023-04-06 10:34:58
47116,4565,Liked,2023-03-29 00:39:39
21302,3220,Disliked,2023-03-07 02:26:11
17466,823,Disliked,2022-02-26 18:33:42
37136,4032,Played,2023-02-08 19:44:59
15069,826,Shared,2022-11-11 11:54:47
26141,551,Shared,2022-07-07 19:34:30
26141,1114,Played,2023-04-09 16:26:22
36048,1851,Played,2022-10-11 05:50:03
36048,4990,Liked,2021-07-15 19:56:06
40120,2615,Disliked,2020-11-13 07:43:12
40120,1862,Shared,2022-04-18 19:14:50
90809,468,Played,2021-12-12 23:32:53
996,549,Liked,2022-07-22 05:00:49
70750,3767,Liked,2021-10-05 03:21:37
70750,4542,Disliked,2022-10-13 13:25:15
6614,1607,Shared,2023-03-17 18:06:32
81237,3162,Played,2022-07-08 08:24:20
94350,2516,Shared,2022-08-05 22:55:51
25880,2337,Added to Playlist,2022-06-15 05:48:18
25880,2233,Disliked,2022-07-16 01:03:37
48067,4482,Disliked,2021-02-16 11:59:37
99665,3064,Shared,2022-03-04 10:38:22
62434,1263,Liked,2021-06-30 03:51:24
22793,1191,Played,2021-10-05 14:22:45
64352,1308,Played,2023-04-01 02:05:18
64352,4732,Disliked,2021-10-28 18:42:01
89361,3259,Played,2022-05-23 22:37:06
89361,331,Played,2021-05-25 06:53:23
85363,4039,Disliked,2022-11-19 20:47:55
85363,2653,Added to Playlist,2023-02-10 16:56:48
85363,4711,Disliked,2023-04-01 14:16:04
96333,3891,Disliked,2021-07-03 04:26:54
96333,1561,Liked,2023-01-25 20:48:38
57927,1746,Shared,2022-12-12 05:27:30
64280,3059,Shared,2022-05-24 14:47:37
64280,1720,Disliked,2021-09-07 01:16:26
92015,3632,Shared,2022-02-01 15:00:33
62925,4970,Disliked,2022-11-06 14:20:38
62925,1082,Liked,2022-12-20 22:43:24
49875,2221,Shared,2023-02-06 03:17:47
43,1740,Played,2023-03-19 01:18:26
61261,4459,Played,2021-06-20 00:45:53
19049,3052,Played,2021-07-20 09:31:48
19049,2569,Added to Playlist,2022-11-13 17:53:20
30201,2584,Added to Playlist,2021-07-22 05:54:16
11281,3103,Shared,2022-08-29 15:17:37
11281,1745,Disliked,2022-08-14 22:14:54
34499,2094,Shared,2022-08-28 13:07:53
82291,3959,Liked,2023-02-17 16:48:55
82291,2497,Played,2023-04-08 16:39:00
80594,918,Shared,2022-05-30 00:36:41
80594,3848,Added to Playlist,2022-06-07 05:08:40
64108,3859,Played,2023-04-08 00:07:01
64108,3484,Disliked,2023-03-09 12:27:23
194,3887,Added to Playlist,2021-02-13 15:02:57
96987,4762,Disliked,2022-11-17 17:37:24
71288,4991,Disliked,2022-10-26 03:48:15
1520,605,Played,2021-07-31 21:40:31
1520,204,Added to Playlist,2022-10-01 13:51:16
39750,3513,Added to Playlist,2023-01-30 08:50:26
55685,2786,Disliked,2020-10-29 02:58:53
55685,1991,Added to Playlist,2022-05-12 18:18:11
8404,170,Shared,2021-01-23 13:28:34
8404,3909,Added to Playlist,2020-11-24 06:07:19
77852,3088,Added to Playlist,2021-10-26 04:25:18
77852,4600,Disliked,2021-10-05 10:55:21
29741,2125,Added to Playlist,2022-10-04 03:29:43
83282,4335,Played,2022-02-09 16:19:37
83282,1230,Liked,2022-04-02 07:07:33
26154,4648,Added to Playlist,2022-06-11 07:35:24
60568,4066,Liked,2023-03-22 12:32:00
17295,3146,Played,2022-04-22 12:43:19
63911,164,Shared,2022-11-28 09:14:16
50518,3236,Shared,2022-07-14 01:45:24
50518,4201,Added to Playlist,2022-08-13 07:06:06
85753,3073,Disliked,2021-11-25 12:48:08
85753,2549,Liked,2021-12-30 10:06:27
16334,4174,Added to Playlist,2023-03-21 08:52:39
43139,4537,Shared,2021-08-05 02:29:42
68465,2252,Added to Playlist,2023-04-13 19:44:55
95145,1686,Added to Playlist,2022-11-06 14:34:17
23052,2530,Disliked,2022-12-29 01:04:08
