user_id,content_id,revenue_amount,revenue_type,transaction_date
32634,4185,0.0,Subscription,2021-10-07
8722,4695,14.26,Advertisement,2022-12-26
95344,2912,7.75,Advertisement,2023-04-17
37553,228,0.0,Subscription,2023-04-17
36763,1277,20.0,Subscription,2021-12-05
13047,3336,7.92,Advertisement,2023-01-16
9671,3567,20.0,Subscription,2023-01-28
43780,1661,0.0,Subscription,2022-09-09
13301,2230,3.08,Advertisement,2023-03-20
62161,2964,2.07,Advertisement,2022-06-25
77721,4492,0.0,Subscription,2022-10-18
12154,304,12.39,Advertisement,2023-04-11
75195,2900,14.27,Advertisement,2022-02-16
33708,1427,90.0,Subscription,2022-02-12
21233,921,10.24,Advertisement,2022-03-28
57548,2381,80.0,Subscription,2022-02-13
46384,385,3.79,Advertisement,2023-02-10
96130,4645,21.57,Advertisement,2022-08-25
35987,3006,12.61,Advertisement,2023-03-04
93210,1980,8.29,Advertisement,2022-09-18
20198,1119,4.42,Advertisement,2021-04-18
83106,409,18.05,Advertisement,2023-04-10
11631,1377,100.0,Subscription,2023-01-20
12435,933,13.83,Advertisement,2021-08-08
17117,4374,0.0,Subscription,2022-12-22
56320,2441,2.12,Advertisement,2022-12-01
9107,3696,59.47,Advertisement,2022-10-13
41568,1329,17.06,Advertisement,2023-04-16
3967,1317,18.82,Advertisement,2022-10-04
41634,3334,0.0,Subscription,2022-10-24
76003,3556,14.75,Advertisement,2020-09-25
14351,2259,0.0,Subscription,2023-03-14
32925,4565,0.0,Subscription,2022-12-06
55480,4722,0.0,Subscription,2021-11-17
18984,4003,6.18,Advertisement,2023-02-22
20446,1779,0.0,Subscription,2022-09-05
99912,2779,6.45,Advertisement,2023-02-15
64882,3263,160.0,Subscription,2021-02-23
91252,55,11.85,Advertisement,2022-03-10
95715,3929,64.3,Advertisement,2022-09-11
98495,745,10.18,Advertisement,2022-12-23
63964,4803,2.95,Advertisement,2023-04-11
54506,2559,7.16,Advertisement,2023-01-13
42812,1520,0.0,Subscription,2023-03-08
12528,3332,2.99,Advertisement,2022-09-26
82324,2157,6.72,Advertisement,2022-03-22
49242,924,29.52,Advertisement,2021-12-07
52698,1093,13.37,Advertisement,2022-04-23
39770,1100,0.0,Subscription,2023-02-24
59986,214,0.0,Subscription,2022-09-19
16538,1787,2.18,Advertisement,2022-08-02
90651,2089,1.46,In-app Purchase,2022-08-17
94830,4314,6.38,Advertisement,2023-03-15
85639,4194,0.0,Subscription,2023-02-07
59519,3159,0.0,Subscription,2022-03-04
83810,1394,5.96,Advertisement,2022-12-29
88908,2038,8.96,Advertisement,2021-12-02
68890,4438,6.63,In-app Purchase,2021-07-27
79615,863,20.0,Subscription,2022-06-07
88832,1256,0.0,Subscription,2021-12-09
70330,613,90.0,Subscription,2022-06-05
29964,2068,0.0,Subscription,2021-04-16
50078,3183,0.0,Subscription,2022-01-21
87974,286,5.62,Advertisement,2022-03-17
76557,2669,6.23,In-app Purchase,2022-09-21
61157,4864,20.0,Subscription,2023-02-28
31359,1919,7.71,Advertisement,2023-04-11
44659,2302,10.45,Advertisement,2021-09-06
12155,3313,21.48,Advertisement,2022-11-17
15559,577,7.94,Advertisement,2023-04-10
33497,3794,0.0,Subscription,2022-04-30
71493,1361,6.64,Advertisement,2023-01-08
37858,3285,1.21,Advertisement,2022-03-13
33127,788,8.06,Advertisement,2022-10-28
33883,257,6.97,Advertisement,2022-11-25
32556,2014,5.2,Advertisement,2022-07-01
46704,4719,0.0,Subscription,2022-06-25
60122,1107,3.93,In-app Purchase,2023-03-09
48290,279,9.8,Advertisement,2023-02-14
45869,3013,20.03,Advertisement,2022-05-03
9422,4368,6.18,Advertisement,2022-12-10
8236,2863,45.35,Advertisement,2022-07-15
41256,3261,0.0,Subscription,2022-12-27
35881,774,1.26,Advertisement,2021-08-04
49149,3712,19.89,Advertisement,2023-01-13
58051,3102,1.33,Advertisement,2022-06-24
15552,1624,29.79,Advertisement,2022-12-09
84982,444,21.57,Advertisement,2022-03-23
93553,4729,3.36,Advertisement,2023-03-17
19711,1690,78.94,In-app Purchase,2022-09-24
64777,3442,5.15,Advertisement,2021-08-24
18965,3040,6.21,Advertisement,2022-07-07
40025,3416,160.0,Subscription,2021-03-15
93513,2169,0.0,Subscription,2022-09-02
60067,2591,0.0,Subscription,2022-07-07
80035,193,12.24,Advertisement,2021-09-22
30995,1616,6.85,Advertisement,2022-01-03
41754,2894,4.31,Advertisement,2023-04-19
52911,862,12.45,Advertisement,2022-11-18
85737,2036,18.94,Advertisement,2022-11-14
86789,1424,11.72,Advertisement,2022-11-17
69268,4884,7.79,Advertisement,2023-02-12
93794,595,0.0,Subscription,2023-01-14
73440,4326,0.0,Subscription,2021-01-07
53684,2784,16.46,In-app Purchase,2022-10-26
36456,1606,11.91,Advertisement,2023-03-16
60554,4761,20.19,Advertisement,2023-01-15
56636,1827,0.0,Subscription,2023-03-29
82898,3264,13.35,Advertisement,2022-08-08
68736,2266,10.17,Advertisement,2023-01-29
92051,2514,26.37,In-app Purchase,2023-01-04
5987,2942,60.0,Subscription,2021-05-08
74064,4514,0.0,Subscription,2022-09-23
88699,413,2.79,Advertisement,2023-02-08
65592,3984,0.0,Subscription,2023-04-07
70253,2349,20.0,Subscription,2022-01-11
91283,1814,2.82,Advertisement,2022-10-27
92161,1542,80.0,Subscription,2022-01-27
76913,2511,7.21,Advertisement,2022-10-27
70046,4560,5.96,Advertisement,2023-04-13
41718,1565,14.2,Advertisement,2021-08-17
77328,770,27.35,Advertisement,2022-09-19
33634,2512,72.98,Advertisement,2023-02-03
65493,2709,16.43,Advertisement,2022-08-26
60569,583,36.65,Advertisement,2022-09-27
70797,2633,10.0,Subscription,2021-03-05
78332,3117,1.75,Advertisement,2023-02-01
90623,1940,20.63,Advertisement,2022-09-25
23569,1230,0.0,Subscription,2022-03-29
10952,945,3.66,Advertisement,2022-10-15
24357,3064,15.51,Advertisement,2021-07-08
58483,461,5.62,Advertisement,2022-01-06
45189,1651,0.0,Subscription,2022-04-18
14912,4185,6.15,In-app Purchase,2023-01-06
16618,1025,11.04,Advertisement,2022-07-30
77295,1032,0.0,Subscription,2022-03-14
28455,120,0.0,Subscription,2021-02-16
37943,2971,25.84,In-app Purchase,2022-09-14
15370,80,23.98,Advertisement,2023-02-15
6828,1636,30.0,Subscription,2022-02-09
28991,527,1.0,In-app Purchase,2022-09-04
72839,4824,0.0,Subscription,2023-02-25
72899,580,7.67,Advertisement,2022-03-19
29117,4011,8.45,Advertisement,2021-06-16
52935,4716,7.26,In-app Purchase,2021-03-07
43409,9,100.0,Subscription,2021-03-30
47840,4550,60.0,Subscription,2022-04-29
994,3314,0.0,Subscription,2022-11-10
58328,2931,0.0,Subscription,2022-08-26
65086,2278,20.31,Advertisement,2021-12-01
98910,1443,0.0,Subscription,2021-10-25
71013,1287,0.0,Subscription,2021-12-30
60071,4241,0.0,Subscription,2022-07-10
2204,506,2.07,Advertisement,2022-08-11
75357,3506,6.22,Advertisement,2022-10-17
38249,1855,7.95,In-app Purchase,2021-09-05
87495,1556,22.87,Advertisement,2022-10-09
7495,3565,0.0,Subscription,2022-10-04
