user_id,age,gender,country,signup_date,subscription_type
1,16,Female,France,2022-12-17,Premium
2,26,Female,Norway,2022-01-22,Basic
3,30,Male,Greece,2022-10-27,Free
4,23,Male,Denmark,2020-07-16,Free
5,29,Female,Switzerland,2021-11-03,Free
6,27,Female,Netherlands,2020-04-29,Free
7,26,Female,Italy,2021-12-24,Free
8,19,Male,Greece,2022-05-29,Basic
9,24,Female,United States,2023-03-01,Free
10,26,Male,Sweden,2022-09-25,Basic
11,22,Female,Norway,2022-01-19,Basic
12,27,Female,Denmark,2022-05-01,Basic
13,22,Male,Germany,2022-04-20,Free
14,29,Female,Sweden,2021-08-05,Free
15,28,Female,Italy,2023-01-17,Free
16,24,Female,Portugal,2021-08-03,Free
17,22,Male,United States,2020-05-03,Basic
18,30,Female,United Kingdom,2023-04-11,Free
19,22,Male,Belgium,2021-08-01,Free
20,19,Female,Spain,2020-09-07,Free
21,33,Female,Greece,2021-11-16,Free
22,32,Female,United States,2023-02-22,Free
23,23,Non-Binary,France,2021-12-22,Free
24,20,Male,United Kingdom,2021-03-05,Free
25,25,Female,Greece,2022-01-22,Free
26,29,Male,Ireland,2022-11-28,Basic
27,28,Male,Finland,2020-11-24,Free
28,31,Female,Germany,2021-08-06,Basic
29,23,Male,Portugal,2021-11-14,Basic
30,25,Male,Finland,2022-11-22,Free
31,26,Male,France,2022-12-27,Free
32,17,Female,Austria,2021-01-14,Free
33,21,Female,Denmark,2020-07-16,Free
34,29,Male,United States,2021-01-04,Free
35,28,Male,Norway,2020-11-17,Free
36,22,Female,Netherlands,2022-12-16,Free
37,30,Female,Sweden,2021-05-12,Free
38,16,Female,Netherlands,2023-03-30,Free
39,18,Male,Austria,2020-07-27,Basic
40,18,Female,Sweden,2021-01-27,Free
41,22,Female,Germany,2021-03-17,Basic
42,21,Female,Norway,2020-11-12,Free
43,25,Female,United States,2023-02-13,Free
44,21,Female,France,2021-06-11,Basic
45,31,Male,Norway,2023-02-23,Free
46,16,Female,Switzerland,2022-08-01,Free
47,20,Male,Portugal,2020-10-21,Premium
48,26,Male,Belgium,2023-02-16,Free
49,16,Non-Binary,Switzerland,2023-03-11,Free
50,32,Male,Spain,2021-08-14,Premium
51,19,Male,Sweden,2022-01-30,Basic
52,22,Male,Austria,2021-08-28,Premium
53,20,Female,Spain,2021-09-09,Free
54,20,Female,Sweden,2021-01-22,Free
55,25,Female,Netherlands,2022-07-26,Free
56,27,Female,Austria,2022-06-08,Free
57,20,Male,Belgium,2020-11-29,Free
58,31,Male,Switzerland,2022-08-14,Basic
59,24,Female,Portugal,2023-03-05,Free
60,20,Non-Binary,Norway,2022-05-29,Free
61,20,Male,United States,2021-10-31,Free
62,25,Male,Austria,2021-05-30,Basic
63,26,Male,Switzerland,2022-02-28,Basic
64,25,Female,Belgium,2022-09-19,Free
65,16,Male,France,2022-11-09,Free
66,19,Male,Switzerland,2022-02-27,Basic
67,28,Male,Sweden,2020-10-24,Free
68,28,Female,Spain,2022-12-06,Basic
69,30,Female,Denmark,2020-11-20,Free
70,17,Male,Norway,2021-09-06,Free
71,15,Female,Ireland,2022-02-20,Free
72,26,Male,Switzerland,2021-02-11,Free
73,23,Female,Greece,2021-10-21,Free
74,21,Female,United Kingdom,2022-02-08,Basic
75,35,Female,United States,2020-08-25,Free
76,22,Female,United States,2020-10-06,Free
77,28,Female,Spain,2021-12-26,Basic
78,18,Female,Netherlands,2022-03-19,Free
79,27,Female,Austria,2021-12-25,Free
80,19,Female,Greece,2022-10-07,Basic
81,28,Female,Sweden,2022-05-23,Basic
82,28,Female,Finland,2020-11-16,Free
83,17,Female,Switzerland,2020-05-08,Basic
84,29,Male,Spain,2020-10-02,Free
85,28,Male,Sweden,2020-06-24,Free
86,27,Prefer not to say,Austria,2022-08-19,Premium
87,25,Male,Greece,2021-04-08,Basic
88,25,Female,Denmark,2022-04-27,Free
89,22,Female,Spain,2023-01-11,Free
90,19,Female,United Kingdom,2022-11-06,Basic
91,16,Male,Finland,2022-10-25,Basic
92,26,Female,Italy,2022-12-31,Premium
93,34,Male,Switzerland,2021-05-24,Free
94,23,Male,Belgium,2020-06-30,Free
95,34,Female,Norway,2023-03-12,Free
96,25,Male,Switzerland,2021-07-01,Free
97,24,Male,Austria,2020-10-02,Basic
98,25,Female,Norway,2022-10-16,Free
99,24,Female,Belgium,2022-01-26,Free
